TIME ,USD,INR ,EUR
2026-04-08T05:36:34.622Z,1,93.1537,0.8607
2026-04-08T05:42:48.604Z,1,93.1537,0.8607
2026-04-08T05:43:26.039Z,1,93.1537,0.8607
